SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,54,1,West Virginia,Barbour County,1,15459,7658,7801,758,384,374,1558,800,758,760,380,380,1595,749,846,12741,6267,6474,12383,6094,6289,5576,2728,2848,3419,1702,1717,4199,2093,2106,3170,1550,1620,758,384,374,834,420,414,922,483,439,1090,520,570,1067,506,561,887,464,423,834,409,425,849,432,417,849,397,452,1036,531,505,978,480,498,1100,557,543,1085,525,560,1024,537,487,883,432,451,576,282,294,375,180,195,312,119,193,43,42.8,43.2
50,54,1,West Virginia,Barbour County,2,15462,7674,7788,764,388,376,1550,798,752,765,383,382,1592,747,845,12747,6280,6467,12383,6105,6278,5581,2737,2844,3421,1710,1711,4187,2082,2105,3183,1566,1617,764,388,376,837,422,415,910,479,431,1096,518,578,1064,509,555,882,459,423,843,417,426,844,434,410,852,400,452,1027,523,504,985,485,500,1094,555,539,1081,519,562,1031,543,488,886,439,447,573,280,293,377,181,196,316,123,193,43,42.7,43.2
50,54,1,West Virginia,Barbour County,3,15447,7657,7790,756,403,353,1551,780,771,789,398,391,1615,757,858,12748,6276,6472,12351,6076,6275,5621,2762,2859,3407,1702,1705,4121,2041,2080,3208,1576,1632,756,403,353,844,416,428,897,459,438,1123,528,595,1091,532,559,842,424,418,881,440,441,834,428,406,850,410,440,983,485,498,1022,511,511,1048,529,519,1068,516,552,1036,535,501,920,472,448,574,269,305,366,177,189,312,123,189,42.6,42.3,42.9
50,54,1,West Virginia,Barbour County,4,15397,7601,7796,754,387,367,1564,776,788,812,416,396,1608,745,863,12683,6235,6448,12267,6022,6245,5607,2749,2858,3391,1694,1697,4054,2018,2036,3214,1565,1649,754,387,367,856,422,434,912,460,452,1130,528,602,1086,527,559,849,433,416,873,438,435,820,410,410,849,413,436,951,467,484,1025,526,499,995,492,503,1083,533,550,1009,500,509,905,481,424,626,285,341,377,181,196,297,118,179,42.4,42.1,42.6
50,54,1,West Virginia,Barbour County,5,15443,7627,7816,781,390,391,1551,773,778,792,410,382,1632,764,868,12718,6258,6460,12319,6054,6265,5678,2806,2872,3440,1728,1712,3988,1984,2004,3259,1578,1681,781,390,391,821,402,419,916,467,449,1159,546,613,1079,532,547,847,436,411,900,449,451,818,407,411,875,436,439,914,438,476,1012,520,492,988,488,500,1074,538,536,1014,479,535,908,485,423,629,293,336,402,194,208,306,127,179,42.3,42,42.6
50,54,1,West Virginia,Barbour County,6,15369,7569,7800,779,376,403,1517,763,754,748,390,358,1669,771,898,12712,6241,6471,12325,6040,6285,5667,2793,2874,3423,1722,1701,3918,1956,1962,3315,1591,1724,779,376,403,811,412,399,879,441,438,1133,539,594,1111,532,579,820,424,396,909,452,457,808,403,405,886,443,443,872,406,466,1042,534,508,940,463,477,1064,553,511,1019,463,556,910,480,430,669,310,359,400,200,200,317,138,179,42.5,42.3,42.6
50,54,3,West Virginia,Berkeley County,1,122070,61113,60957,7475,3806,3669,14469,7422,7047,6522,3345,3177,9012,4610,4402,96831,48185,48646,93604,46540,47064,47692,24184,23508,33825,17089,16736,32582,16267,16315,18185,8574,9611,7475,3806,3669,7758,4021,3737,8378,4261,4117,7292,3740,3552,6575,3355,3220,8497,4302,4195,8865,4483,4382,8493,4319,4174,7970,3985,3985,7991,4011,3980,8380,4211,4169,8405,4183,4222,7806,3862,3944,6379,3068,3311,5468,2617,2851,3213,1526,1687,1793,797,996,1332,566,766,38.7,38,39.3
50,54,3,West Virginia,Berkeley County,2,122699,61433,61266,7514,3823,3691,14468,7431,7037,6575,3369,3206,9090,4640,4450,97384,48465,48919,94142,46810,47332,48045,24375,23670,34064,17230,16834,32659,16308,16351,18329,8632,9697,7514,3823,3691,7782,4042,3740,8370,4253,4117,7344,3764,3580,6637,3381,3256,8525,4330,4195,8978,4542,4436,8521,4331,4190,8040,4027,4013,7943,3980,3963,8381,4211,4170,8462,4214,4248,7873,3903,3970,6418,3070,3348,5542,2652,2890,3232,1537,1695,1794,798,996,1343,575,768,38.6,38,39.3
50,54,3,West Virginia,Berkeley County,3,126194,63236,62958,7670,3866,3804,14655,7563,7092,6807,3486,3321,9495,4895,4600,100388,50027,50361,97062,48321,48741,50007,25515,24492,35459,18023,17436,33114,16519,16595,18994,8884,10110,7670,3866,3804,7990,4156,3834,8419,4296,4123,7537,3914,3623,7011,3578,3433,8754,4496,4258,9552,4851,4701,8703,4408,4295,8450,4268,4182,7845,3904,3941,8499,4283,4216,8662,4309,4353,8108,4023,4085,6596,3132,3464,5778,2728,3050,3395,1604,1791,1864,838,1026,1361,582,779,38.6,37.8,39.3
50,54,3,West Virginia,Berkeley County,4,129538,64786,64752,7887,4020,3867,14982,7716,7266,7080,3562,3518,9724,5038,4686,103040,51230,51810,99589,49488,50101,51599,26265,25334,36599,18571,18028,33531,16673,16858,19735,9206,10529,7887,4020,3867,8257,4255,4002,8529,4367,4162,7835,4025,3810,7165,3669,3496,8820,4486,4334,9908,5051,4857,8994,4549,4445,8877,4485,4392,8005,3992,4013,8604,4310,4294,8707,4323,4384,8215,4048,4167,6856,3251,3605,5742,2709,3033,3818,1790,2028,1937,859,1078,1382,597,785,38.5,37.8,39.3
